# Time-averaged data for fix xyArea
# TimeStep v_xyArea
10000 4624
10010 4623.4
10020 4622.34
10030 4621.62
10040 4621.01
10050 4620.51
10060 4620.49
10070 4621.6
10080 4620.9
10090 4620.12
10100 4620.53
10110 4621.01
10120 4621.2
10130 4620.57
10140 4619.51
10150 4620.18
10160 4619.91
10170 4620.41
10180 4620.32
10190 4620.89
10200 4621.84
10210 4623.35
10220 4623.68
10230 4622.77
10240 4621.91
10250 4621.66
10260 4621.57
10270 4621.04
10280 4619.19
10290 4617.92
10300 4618.25
10310 4618.46
10320 4618.78
10330 4617.44
10340 4616.38
10350 4616.18
10360 4616.32
10370 4616.25
10380 4616.05
10390 4616.45
10400 4617.88
10410 4618.65
10420 4618.96
10430 4619.47
10440 4619.28
10450 4619.02
10460 4619.46
10470 4619.58
10480 4619.34
10490 4620.36
10500 4620.14
10510 4619.96
10520 4619.53
10530 4619.97
10540 4619.72
10550 4620.06
10560 4621.61
10570 4622.22
10580 4622.8
10590 4623.49
10600 4624.5
10610 4625.41
10620 4625.72
10630 4626.62
10640 4626.78
10650 4627.09
10660 4626.77
10670 4626.12
10680 4626.57
10690 4626.21
10700 4626.35
10710 4626.67
10720 4624.76
10730 4623.24
10740 4622.19
10750 4619.06
10760 4617.36
10770 4616.09
10780 4615.25
10790 4614.44
10800 4614.04
10810 4613.68
10820 4612.74
10830 4610.58
10840 4609.69
10850 4609.68
10860 4609.16
10870 4608.21
10880 4608.76
10890 4610.31
10900 4611.94
10910 4611.77
10920 4610.42
10930 4610.97
10940 4612.25
10950 4612.76
10960 4613.22
10970 4612.56
10980 4613.27
10990 4614.58
11000 4614.65
11010 4613.67
11020 4613.84
11030 4613.95
11040 4614.6
11050 4614.34
11060 4614.39
11070 4615.76
11080 4617.06
11090 4617.49
11100 4617.22
11110 4615.54
11120 4615.44
11130 4616.01
11140 4616.47
11150 4617.09
11160 4616.5
11170 4615.76
11180 4615.18
11190 4614.11
11200 4614.71
11210 4615.5
11220 4616.16
11230 4615.32
11240 4613.47
11250 4609.57
11260 4607.08
11270 4606.75
11280 4607.27
11290 4607.19
11300 4607.58
11310 4606.29
11320 4607.18
11330 4607.7
11340 4607.21
11350 4606.78
11360 4605.71
11370 4607.06
11380 4607.71
11390 4608.08
11400 4606.64
11410 4606.35
11420 4606.64
11430 4606.1
11440 4605.87
11450 4605.76
11460 4603.87
11470 4602.12
11480 4602.44
11490 4601.83
11500 4601.64
11510 4602.05
11520 4601.17
11530 4601.4
11540 4600.14
11550 4599.57
11560 4601.36
11570 4602.47
11580 4602.27
11590 4602.63
11600 4603.54
11610 4605.98
11620 4608.05
11630 4608.72
11640 4607.65
11650 4607.65
11660 4607.06
11670 4606.76
11680 4607.66
11690 4608.94
11700 4611.25
11710 4612.99
11720 4613.34
11730 4613.15
11740 4613.79
11750 4613.77
11760 4614.51
11770 4614.91
11780 4615.75
11790 4616.49
11800 4617.02
11810 4615.51
11820 4614.62
11830 4613.07
11840 4612.55
11850 4612.18
11860 4611.93
11870 4613.15
11880 4614.11
11890 4613.17
11900 4614.1
11910 4613.85
11920 4613.14
11930 4613.66
11940 4612.83
11950 4612.13
