# Time-averaged data for fix boxVol
# TimeStep v_boxVol
0 287785
10 287812
20 287953
30 287949
40 287858
50 287819
60 287791
70 287917
80 287890
90 287737
100 287665
110 287636
120 287733
130 287772
140 287792
150 287818
160 287847
170 287813
180 287827
190 287863
200 287968
210 288048
220 288003
230 288171
240 288336
250 288377
260 288402
270 288398
280 288293
290 288229
300 288099
310 288150
320 288216
330 288276
340 288354
350 288349
360 288306
370 288318
380 288146
390 288100
400 288237
410 288203
420 288308
430 288549
440 288568
450 288513
460 288452
470 288508
480 288502
490 288494
500 288464
510 288379
520 288326
530 288363
540 288268
550 288202
560 288230
570 288254
580 288268
590 288269
600 288254
610 288241
620 288241
630 288230
640 288178
650 288219
660 288181
670 288147
680 288129
690 288117
700 288141
710 288102
720 288084
730 288140
740 288145
750 288164
760 288146
770 288074
780 288050
790 288022
800 288089
810 288139
820 288250
830 288192
840 288046
850 288034
860 288011
870 287953
880 287898
890 287846
900 287854
910 287832
920 287754
930 287651
940 287489
950 287445
960 287389
970 287523
980 287671
990 287695
1000 287668
1010 287735
1020 287673
1030 287674
1040 287688
1050 287600
1060 287491
1070 287340
1080 287209
1090 287165
1100 287116
1110 286992
1120 287063
1130 287176
1140 287217
1150 287183
1160 287111
1170 287168
1180 287315
1190 287506
1200 287638
1210 287692
1220 287643
1230 287630
1240 287619
1250 287723
1260 287745
1270 287680
1280 287671
1290 287718
1300 287841
1310 287858
1320 287756
1330 287756
1340 287782
1350 287671
1360 287599
1370 287600
1380 287573
1390 287637
1400 287597
1410 287685
1420 287614
1430 287686
1440 287658
1450 287619
1460 287566
1470 287467
1480 287526
1490 287541
1500 287658
1510 287667
1520 287630
1530 287609
1540 287643
1550 287719
1560 287730
1570 287760
1580 287854
1590 287937
1600 288068
1610 288149
1620 288203
1630 288119
1640 288032
1650 288106
1660 288215
1670 288285
1680 288407
1690 288411
1700 288391
1710 288351
1720 288394
1730 288395
1740 288369
1750 288468
1760 288500
1770 288566
1780 288528
1790 288505
1800 288588
1810 288571
1820 288539
1830 288587
1840 288581
1850 288588
1860 288556
1870 288453
1880 288531
1890 288689
1900 288763
1910 288785
1920 288769
1930 288550
1940 288534
1950 288524
1960 288580
1970 288614
1980 288622
1990 288642
2000 288731
2010 288774
2020 288782
2030 288858
2040 288738
2050 288758
2060 288692
2070 288568
2080 288446
2090 288364
2100 288228
2110 288111
2120 288046
2130 288112
2140 288213
2150 288246
2160 288316
2170 288340
2180 288375
2190 288366
2200 288418
2210 288449
2220 288478
2230 288482
2240 288471
2250 288446
2260 288545
2270 288531
2280 288479
2290 288511
2300 288521
2310 288575
2320 288580
2330 288562
2340 288454
2350 288366
2360 288310
2370 288440
2380 288441
2390 288500
2400 288558
2410 288720
2420 288788
2430 288884
2440 288924
2450 288986
2460 289036
2470 289099
2480 289182
2490 289363
2500 289530
2510 289575
2520 289564
2530 289529
2540 289488
2550 289549
2560 289646
2570 289531
2580 289411
2590 289346
2600 289350
2610 289181
2620 289037
2630 288973
2640 288899
2650 288859
2660 288753
2670 288724
2680 288666
2690 288579
2700 288477
2710 288282
2720 288133
2730 288090
2740 288098
2750 288087
2760 288116
2770 288149
2780 288228
2790 288268
2800 288299
2810 288379
2820 288426
2830 288368
2840 288399
2850 288409
2860 288359
2870 288383
2880 288329
2890 288342
2900 288285
2910 288378
2920 288532
2930 288623
2940 288675
2950 288679
2960 288645
2970 288652
2980 288592
2990 288560
3000 288609
3010 288698
3020 288606
3030 288458
3040 288172
3050 288041
3060 287962
3070 287936
3080 288011
3090 288047
3100 288094
3110 288109
3120 288118
3130 288072
3140 288077
3150 288041
3160 288104
3170 288061
3180 288026
3190 288026
3200 288008
3210 287959
3220 287917
3230 287893
3240 287929
3250 287872
3260 287780
3270 287818
3280 287740
3290 287745
3300 287760
3310 287857
3320 287901
3330 287988
3340 288161
3350 288232
3360 288359
3370 288379
3380 288310
3390 288117
3400 287997
3410 287923
3420 287866
3430 287783
3440 287740
3450 287754
3460 287707
3470 287714
3480 287727
3490 287765
3500 287723
3510 287729
3520 287795
3530 287915
3540 287919
3550 287914
3560 287890
3570 287955
3580 288195
3590 288279
3600 288287
3610 288278
3620 288236
3630 288172
3640 288154
3650 288214
3660 288270
3670 288306
3680 288202
3690 288059
3700 287956
3710 287848
3720 287694
3730 287763
3740 287863
3750 287783
3760 287699
3770 287688
3780 287750
3790 287752
3800 287746
3810 287648
3820 287617
3830 287684
3840 287708
3850 287769
3860 287693
3870 287759
3880 287793
3890 287840
3900 287893
3910 288037
3920 288118
3930 288222
3940 288273
3950 288428
3960 288499
3970 288453
3980 288361
3990 288356
4000 288393
4010 288530
4020 288655
4030 288578
4040 288430
4050 288314
4060 288285
4070 288267
4080 288265
4090 288206
4100 288287
4110 288349
4120 288320
4130 288288
4140 288263
4150 288179
4160 288106
4170 288053
4180 288082
4190 288061
4200 287939
4210 287878
4220 287723
4230 287622
4240 287684
4250 287647
4260 287678
4270 287787
4280 288031
4290 288090
4300 288059
4310 288163
4320 288195
4330 288181
4340 288192
4350 288237
4360 288326
4370 288354
4380 288339
4390 288293
4400 288212
4410 288212
4420 288264
4430 288204
4440 288152
4450 288044
4460 287963
4470 287908
4480 287897
4490 287856
4500 287861
4510 287903
4520 287923
4530 287902
4540 288012
4550 288110
4560 288064
4570 288007
4580 288096
4590 288145
4600 288061
4610 287960
4620 287921
4630 287913
4640 287922
4650 287891
4660 287852
4670 287749
4680 287680
4690 287622
4700 287651
4710 287731
4720 287660
4730 287575
4740 287461
4750 287405
4760 287300
4770 287282
4780 287272
4790 287207
