# Time-averaged data for fix xyArea
# TimeStep v_xyArea
0 4299.27
10 4297.88
20 4297.19
30 4296.5
40 4295.83
50 4294.92
60 4294.16
70 4293.96
80 4294.08
90 4292.34
100 4290.59
110 4289.58
120 4288.5
130 4288.96
140 4288.48
150 4288.89
160 4290.13
170 4290.42
180 4290.28
190 4290.09
200 4290.45
210 4292.11
220 4293.59
230 4293.39
240 4294.22
250 4295.53
260 4296.68
270 4296.7
280 4297.56
290 4297.41
300 4296.43
310 4295.7
320 4295.92
330 4297.15
340 4298.53
350 4298.34
360 4299.14
370 4301.71
380 4303.31
390 4303.58
400 4303.36
410 4302.44
420 4302.52
430 4301.79
440 4300.49
450 4299.74
460 4299.44
470 4299.43
480 4299.95
490 4300.82
500 4301.04
510 4300.84
520 4299.96
530 4299.22
540 4298.51
550 4297.59
560 4297.61
570 4297
580 4296.2
590 4296.23
600 4296.98
610 4297.67
620 4299.71
630 4301.53
640 4301.95
650 4302.12
660 4301.51
670 4300.73
680 4299
690 4296.85
700 4296.38
710 4296.22
720 4296.07
730 4294.24
740 4294.77
750 4295.32
760 4297.09
770 4297.94
780 4300.22
790 4301.48
800 4301.95
810 4302.24
820 4302.4
830 4304.2
840 4305.89
850 4307.17
860 4308.03
870 4308.7
880 4309.54
890 4309.79
900 4311.47
910 4313.67
920 4314.64
930 4313.73
940 4313.68
950 4314.53
960 4314.57
970 4313.06
980 4312.31
990 4312.63
1000 4312.07
1010 4312.7
1020 4312.07
1030 4310.13
1040 4309.11
1050 4310
1060 4310.77
1070 4311.43
1080 4310.61
1090 4307.79
1100 4306.78
1110 4306.47
1120 4306.47
1130 4306.21
1140 4306.6
1150 4306.98
1160 4305.87
1170 4304.57
1180 4304.07
1190 4304.4
1200 4304.17
1210 4303.01
1220 4304.07
1230 4304.62
1240 4304.37
1250 4302.71
1260 4302.03
1270 4301.58
1280 4302.11
1290 4301.64
1300 4302.09
1310 4301.59
1320 4301.48
1330 4301.97
1340 4303.35
1350 4303.6
1360 4304.46
1370 4303.27
1380 4302.01
1390 4301.93
1400 4300.67
1410 4300.6
1420 4299.53
1430 4298.04
1440 4296.83
1450 4297.17
1460 4296.53
1470 4295.53
1480 4295.45
1490 4295.4
1500 4295.59
1510 4295.77
1520 4296.45
1530 4297.07
1540 4298.25
1550 4298.83
1560 4298.24
1570 4298.55
1580 4298.45
1590 4297.86
1600 4298.43
1610 4298.79
1620 4298.73
1630 4298.72
1640 4299.12
1650 4300.63
1660 4302.04
1670 4301.53
1680 4300.69
1690 4299.88
1700 4299.11
1710 4298.7
1720 4298.4
1730 4299.65
1740 4300.8
1750 4301.13
1760 4301.62
1770 4302.32
1780 4301.29
1790 4301.6
1800 4302.04
1810 4300.37
1820 4300.37
1830 4301.79
1840 4302.71
1850 4303.19
1860 4302.25
1870 4301.79
1880 4303.79
1890 4303.69
1900 4304.27
1910 4304.32
1920 4304.56
1930 4303.33
1940 4302.76
1950 4302.18
1960 4301.49
1970 4301.42
1980 4300.28
1990 4299.46
2000 4298.35
2010 4297.28
2020 4297.54
2030 4297.41
2040 4296.82
2050 4295.32
2060 4293.6
2070 4292.74
2080 4292.72
2090 4293.53
2100 4294.13
2110 4294.25
2120 4295.28
2130 4295.14
2140 4294.99
2150 4294.45
2160 4294.98
2170 4293.27
2180 4292.25
2190 4291.45
2200 4290.78
2210 4289.92
2220 4290.86
2230 4292.05
2240 4292.43
2250 4292.56
2260 4292.17
2270 4291.46
2280 4290.64
2290 4290.42
2300 4289.45
2310 4291
2320 4292.02
2330 4292.05
2340 4291.16
2350 4290.27
2360 4289.74
2370 4288.3
2380 4286.84
2390 4286.72
2400 4287.96
2410 4289.11
2420 4289.37
2430 4289.65
2440 4288.87
2450 4288.57
2460 4289.71
2470 4290.29
2480 4291.36
2490 4292.05
2500 4293.19
2510 4293.89
2520 4294.56
2530 4293.71
2540 4291.95
2550 4291.6
2560 4291.6
2570 4291.77
2580 4290.02
2590 4290.32
2600 4292.03
2610 4292.05
2620 4292.33
2630 4293.1
2640 4293.48
2650 4293.8
2660 4294.66
2670 4294.96
2680 4295.09
2690 4293.92
2700 4292.29
2710 4290.71
2720 4291.36
2730 4291.32
2740 4290.76
2750 4291.29
2760 4292.68
2770 4291.12
2780 4288.62
2790 4287.4
2800 4286.96
2810 4288.51
2820 4289.17
2830 4288.37
2840 4287.17
2850 4286.88
2860 4286.95
2870 4287.06
2880 4287.35
2890 4286.77
2900 4286.19
2910 4284.62
2920 4283.69
2930 4284.39
2940 4284.96
2950 4284.29
2960 4285.44
2970 4286.75
2980 4287.82
2990 4286.91
3000 4286.08
3010 4285.78
3020 4285.91
3030 4285.5
3040 4286.09
3050 4286.87
3060 4286.28
3070 4285.37
3080 4283.96
3090 4284.39
3100 4284.87
3110 4285.19
3120 4287.05
3130 4289.14
3140 4291.29
3150 4291.89
3160 4292.9
3170 4293.85
3180 4293.92
3190 4293.69
3200 4293.93
3210 4293.51
3220 4292.93
3230 4291.52
3240 4290.5
3250 4289.19
3260 4288.14
3270 4288.44
3280 4289.32
3290 4289.55
3300 4288.98
3310 4287.81
3320 4286.87
3330 4285.83
3340 4285.05
3350 4285.44
3360 4284.93
3370 4285.16
3380 4285.78
3390 4286.65
3400 4288.03
3410 4288.69
3420 4287.23
3430 4286.87
3440 4286.32
3450 4285.7
3460 4283.42
3470 4282.7
3480 4282.1
3490 4281.31
3500 4281.04
3510 4280.35
3520 4279.86
3530 4279.34
3540 4279.51
3550 4278.92
3560 4279.88
3570 4280.69
3580 4280.95
3590 4281.74
3600 4282.83
3610 4283.06
3620 4285.07
3630 4286.5
3640 4288.13
3650 4288.76
3660 4287.15
3670 4285.56
3680 4284.2
3690 4284.83
3700 4285.36
3710 4286.85
3720 4289.27
3730 4290.58
3740 4291.57
3750 4291.68
3760 4291.28
3770 4289.99
3780 4288.98
3790 4289.31
3800 4291.18
3810 4293.53
3820 4294.96
3830 4293.91
3840 4292.51
3850 4292.44
3860 4292.67
3870 4294.05
3880 4295.07
3890 4295.06
3900 4295.8
3910 4296.85
3920 4298.72
3930 4299.12
3940 4301.49
3950 4302.87
3960 4302.07
3970 4302.09
3980 4301.08
3990 4300
4000 4298.83
4010 4296.66
4020 4295.2
4030 4293.81
4040 4292.57
4050 4292.8
4060 4294.25
4070 4294.09
4080 4295.21
4090 4295.72
4100 4295.43
4110 4294.82
4120 4294.82
4130 4294.56
4140 4294.92
4150 4295
4160 4295.88
4170 4296.61
4180 4295.18
4190 4295.4
4200 4294.74
4210 4293.97
4220 4293.81
4230 4294.1
4240 4294.09
4250 4293.71
4260 4293.18
4270 4293.92
4280 4296.24
4290 4296.62
4300 4296.96
4310 4296.57
4320 4296.03
4330 4295.55
4340 4295.33
4350 4295.35
4360 4295.12
4370 4293.31
4380 4293.03
4390 4293
4400 4292.15
4410 4290.8
4420 4289.4
4430 4289.63
4440 4291.83
4450 4292.99
4460 4293.68
4470 4294.91
4480 4295.11
4490 4295.02
4500 4295.84
4510 4295.54
4520 4294.65
4530 4293.76
4540 4293.02
4550 4293.6
4560 4294.19
4570 4293.55
4580 4292.34
4590 4290.99
4600 4290.65
4610 4290.48
4620 4289.85
4630 4288.75
4640 4287.63
4650 4285.91
4660 4284.59
4670 4282.59
4680 4282.72
4690 4282.57
4700 4283.57
4710 4283.5
4720 4281.76
4730 4281.23
4740 4282.47
4750 4283.92
4760 4284.19
4770 4283.61
4780 4283.78
4790 4284.64
4800 4285.05
4810 4283.74
4820 4285.29
4830 4285.92
4840 4286.39
4850 4286.75
4860 4286.07
4870 4284.8
4880 4284.31
4890 4284.49
4900 4285.53
4910 4286.03
4920 4286.23
4930 4284.46
4940 4285.07
4950 4286.15
4960 4286.71
4970 4286.85
4980 4288.63
4990 4288.99
5000 4289.27
5010 4290.74
5020 4292.7
5030 4293.26
5040 4293.48
5050 4293.54
5060 4292.91
5070 4292.44
5080 4292.54
5090 4291.7
5100 4290.31
5110 4288.74
5120 4286.72
5130 4286.92
5140 4286.2
5150 4286.41
5160 4286.91
5170 4287.14
5180 4287.89
5190 4288.18
5200 4288.36
5210 4289.28
5220 4289.87
5230 4289.79
5240 4289.89
5250 4288.88
5260 4288.4
5270 4288.1
5280 4288.13
5290 4288.13
5300 4288
5310 4287.86
5320 4288.58
5330 4290
5340 4291.72
5350 4292.33
5360 4293.65
5370 4294.25
5380 4295.5
5390 4295.65
5400 4297.75
5410 4299.59
5420 4300.73
5430 4301.21
5440 4300.92
5450 4299.96
5460 4300.52
5470 4302.55
5480 4304.72
5490 4305.48
5500 4305.04
5510 4303.74
5520 4304.14
5530 4305.36
5540 4306
5550 4306.17
5560 4304.76
5570 4303.34
5580 4303.78
5590 4303.99
5600 4303.79
5610 4303.64
5620 4303.38
5630 4302.49
5640 4302.37
5650 4302.24
5660 4302.8
5670 4304.65
5680 4306.45
5690 4307.81
5700 4308.12
5710 4309.44
5720 4309.23
5730 4308.4
5740 4307.17
5750 4305.4
5760 4304.47
5770 4303.82
5780 4302.85
5790 4301.37
5800 4300.95
5810 4300.22
5820 4299.34
5830 4298.12
5840 4297.86
5850 4297.81
5860 4298.05
5870 4297.5
5880 4297.1
5890 4298.07
5900 4299.56
5910 4301.49
5920 4302.78
5930 4304.36
5940 4305.1
5950 4305.22
5960 4304.52
5970 4303.64
5980 4303.01
5990 4303.06
6000 4301.68
6010 4301.15
6020 4301.39
6030 4302.02
6040 4302.35
6050 4301.26
6060 4301.34
6070 4300.72
6080 4301.14
6090 4302.14
6100 4302.35
6110 4302.39
6120 4302.49
6130 4303.02
6140 4302.44
6150 4303.59
6160 4302.63
6170 4302.71
6180 4303.84
6190 4305.17
6200 4306.06
6210 4305.71
6220 4305.98
6230 4306.39
6240 4306.46
6250 4306.51
6260 4305.96
6270 4305.38
6280 4305.21
6290 4305.51
6300 4305.3
6310 4305.44
6320 4306.46
6330 4306.91
6340 4305.28
6350 4304.77
6360 4304.11
6370 4304.93
6380 4307.19
6390 4307.39
6400 4306.9
6410 4306.99
6420 4306.04
6430 4305.42
6440 4304.4
6450 4303.67
6460 4304.39
6470 4304.1
6480 4303.41
6490 4305.36
6500 4306.65
6510 4306.98
6520 4307.95
6530 4308.86
6540 4309.02
6550 4308.63
6560 4307.6
6570 4308.99
6580 4310.03
6590 4309.92
6600 4309.61
6610 4309.01
6620 4308.88
6630 4308.26
6640 4307.76
6650 4309.68
6660 4309.56
6670 4310.08
6680 4309.66
6690 4308.38
6700 4308.38
6710 4309.68
6720 4310.57
6730 4311.04
6740 4311.35
6750 4312.48
6760 4313.59
6770 4313.69
6780 4313.72
6790 4312.76
6800 4311.86
6810 4311.99
6820 4311.94
6830 4313.35
6840 4315.27
6850 4316.08
6860 4316.36
6870 4315.85
6880 4317.06
6890 4316.22
6900 4315.03
