# Time-averaged data for fix gamma
# TimeStep v_gamma
5000 -14.4078
10000 -0.478006
15000 -1.78009
20000 0.675958
25000 -1.4085
30000 0.119264
35000 0.614691
40000 -0.928165
45000 -0.212799
50000 -0.483529
55000 0.845181
60000 0.787397
65000 -0.180837
70000 0.706592
75000 1.99683
80000 -0.660557
85000 0.580334
90000 -0.140712
95000 0.138466
100000 0.898482
105000 -0.248731
110000 1.03006
115000 -2.3926
120000 -0.500285
125000 -0.61726
130000 0.107624
135000 -0.0315322
140000 0.401671
145000 2.15712
150000 -0.672977
155000 0.507501
