# Time-averaged data for fix boxVol
# TimeStep v_boxVol
10000 291312
10010 291290
10020 291249
10030 291207
10040 291146
10050 291090
10060 291049
10070 291124
10080 291061
10090 291022
10100 290989
10110 291044
10120 290949
10130 290885
10140 290765
10150 290808
10160 290770
10170 290829
10180 290823
10190 290850
10200 290945
10210 291012
10220 291018
10230 290934
10240 290944
10250 291000
10260 290997
10270 290945
10280 290765
10290 290658
10300 290621
10310 290633
10320 290632
10330 290528
10340 290495
10350 290434
10360 290467
10370 290503
10380 290505
10390 290477
10400 290543
10410 290560
10420 290531
10430 290497
10440 290444
10450 290447
10460 290579
10470 290660
10480 290644
10490 290683
10500 290616
10510 290593
10520 290581
10530 290651
10540 290676
10550 290751
10560 290859
10570 290858
10580 290907
10590 290967
10600 290990
10610 290991
10620 290967
10630 291014
10640 291060
10650 291103
10660 291061
10670 291020
10680 291006
10690 290984
10700 291076
10710 291086
10720 290941
10730 290838
10740 290762
10750 290574
10760 290513
10770 290464
10780 290430
10790 290363
10800 290391
10810 290411
10820 290370
10830 290234
10840 290158
10850 290221
10860 290222
10870 290140
10880 290197
10890 290326
10900 290454
10910 290434
10920 290372
10930 290384
10940 290536
10950 290613
10960 290629
10970 290555
10980 290613
10990 290727
11000 290728
11010 290648
11020 290634
11030 290634
11040 290672
11050 290658
11060 290622
11070 290700
11080 290785
11090 290818
11100 290788
11110 290723
11120 290746
11130 290818
11140 290858
11150 290929
11160 290938
11170 290852
11180 290825
11190 290772
11200 290801
11210 290838
11220 290877
11230 290832
11240 290666
11250 290310
11260 290085
11270 290031
11280 290111
11290 290124
11300 290161
11310 290108
11320 290200
11330 290260
11340 290202
11350 290199
11360 290140
11370 290318
11380 290398
11390 290402
11400 290282
11410 290328
11420 290330
11430 290307
11440 290259
11450 290240
11460 290105
11470 289985
11480 290039
11490 289978
11500 289981
11510 289943
11520 289850
11530 289902
11540 289822
11550 289811
11560 289897
11570 289903
11580 289837
11590 289867
11600 289928
11610 290053
11620 290179
11630 290233
11640 290164
11650 290178
11660 290105
11670 290051
11680 290042
11690 290110
11700 290263
11710 290323
11720 290310
11730 290278
11740 290415
11750 290511
11760 290589
11770 290655
11780 290650
11790 290635
11800 290652
11810 290560
11820 290428
11830 290328
11840 290276
11850 290163
11860 290045
11870 290135
11880 290162
11890 289984
11900 289973
11910 289987
11920 289968
11930 290028
11940 289978
11950 289905
11960 289931
11970 289988
11980 290089
11990 290155
12000 290254
12010 290269
12020 290200
12030 290149
12040 290108
12050 290077
12060 290099
12070 290122
12080 290140
12090 290070
12100 290154
12110 290090
12120 289888
12130 289792
12140 289733
12150 289639
12160 289602
12170 289544
12180 289483
12190 289537
12200 289532
12210 289605
12220 289605
12230 289623
12240 289570
12250 289502
12260 289530
12270 289618
12280 289730
12290 289903
12300 290080
12310 290090
12320 290069
12330 290065
12340 290132
12350 290077
12360 290129
12370 290235
12380 290295
12390 290285
12400 290109
12410 289937
12420 289883
12430 289853
12440 289799
12450 289710
12460 289582
12470 289530
12480 289470
12490 289425
12500 289467
12510 289495
12520 289438
12530 289409
12540 289586
12550 289728
12560 289760
12570 289737
12580 289678
12590 289661
12600 289591
12610 289688
12620 289713
12630 289724
12640 289724
12650 289816
12660 289835
12670 289879
12680 289874
