# Time-averaged data for fix xyArea
# TimeStep v_xyArea
10000 4624
10010 4622.09
10020 4621.38
10030 4619.88
10040 4618.53
10050 4617.09
10060 4615.41
10070 4613.02
10080 4611.9
10090 4612.87
10100 4612.66
10110 4612.13
10120 4610.76
10130 4608.93
10140 4608.82
10150 4608.96
10160 4609.06
10170 4609.29
10180 4609.25
10190 4608.25
10200 4606.57
10210 4604.48
10220 4604.79
10230 4604.03
10240 4603
10250 4602.18
10260 4600.54
10270 4598.79
10280 4596.8
10290 4595.89
10300 4595.22
10310 4595.52
10320 4594.59
10330 4594.74
10340 4594.07
10350 4594.69
10360 4593.1
10370 4593.63
10380 4594.84
10390 4595.44
10400 4595.62
10410 4596.88
10420 4598.11
10430 4597.08
10440 4595.53
10450 4595.58
10460 4596
10470 4595.13
10480 4595.3
10490 4594.68
10500 4593.94
10510 4593.73
10520 4593.33
10530 4593.63
10540 4594.98
10550 4594.72
10560 4594.94
10570 4595.53
10580 4595.72
10590 4594.99
10600 4593.78
10610 4593.57
10620 4593.28
10630 4592.05
10640 4590.97
10650 4589.6
10660 4588.89
10670 4588.66
10680 4589.56
10690 4590.03
10700 4589.77
10710 4587.56
10720 4587.83
10730 4589.03
10740 4589.87
10750 4589.47
10760 4589.51
10770 4589.1
10780 4588.9
10790 4588.41
10800 4588.02
10810 4587.89
10820 4588.05
10830 4587.22
10840 4586.4
10850 4585.34
10860 4584.03
10870 4582.3
10880 4581.21
10890 4580.47
10900 4580.72
10910 4579.6
10920 4578.39
10930 4578.61
10940 4579.24
10950 4579.65
10960 4578.55
10970 4579.18
10980 4577.91
10990 4577.05
11000 4577.23
11010 4576.49
11020 4577.32
11030 4577.87
11040 4578.44
11050 4580.69
11060 4581.17
11070 4580.87
11080 4582.23
11090 4583.65
11100 4584.5
11110 4584.37
11120 4585.65
11130 4586.98
11140 4586.24
11150 4586.29
11160 4586.71
11170 4586.19
11180 4585.28
11190 4584.87
11200 4585.73
11210 4586.31
11220 4587.05
11230 4585.93
11240 4585.46
11250 4585.41
11260 4586.53
11270 4587.59
11280 4586.52
11290 4585.14
11300 4584.49
11310 4585.67
11320 4586.62
11330 4587.97
11340 4588.1
11350 4589.76
11360 4591.42
11370 4592.41
11380 4591.7
11390 4591.2
11400 4592.3
11410 4592.14
11420 4591.1
11430 4591.9
11440 4593.18
11450 4593.24
11460 4591.53
11470 4588.81
11480 4587.24
11490 4585.92
11500 4586.15
11510 4584.9
11520 4584.85
11530 4585.04
11540 4585.71
11550 4585.64
11560 4585.23
11570 4583.98
11580 4582.9
11590 4582.25
11600 4582.32
11610 4580.72
11620 4580.07
11630 4578.75
11640 4578.46
11650 4578.4
11660 4578.61
11670 4578.38
11680 4576.74
11690 4575.78
11700 4575.53
11710 4577.03
11720 4577.15
11730 4577.06
11740 4578.62
11750 4579.61
11760 4579.28
11770 4580.33
11780 4581.33
11790 4582.46
11800 4583.21
11810 4582.36
11820 4583.89
11830 4584.28
11840 4584.86
11850 4586.58
11860 4586.84
11870 4587.51
11880 4590.13
11890 4590.96
11900 4590.58
11910 4589.52
11920 4588.65
11930 4587.73
11940 4586.25
11950 4586.02
11960 4586.1
11970 4585.42
11980 4584.83
11990 4584.95
12000 4585.59
12010 4584.32
12020 4585.72
12030 4585.96
12040 4586.09
12050 4584.86
12060 4584.82
12070 4584.64
12080 4585.59
12090 4586.4
12100 4586.48
12110 4586.54
12120 4587.92
12130 4588.78
12140 4587.86
12150 4587.52
12160 4587.48
12170 4585.35
12180 4585.67
12190 4584.26
12200 4585.64
12210 4586.53
12220 4585.76
12230 4585.03
12240 4584.22
12250 4585.01
12260 4585.65
12270 4586.55
12280 4587.28
12290 4586.59
12300 4586.63
12310 4585.87
12320 4584.18
12330 4584.57
12340 4583.51
12350 4583.52
12360 4582.87
12370 4582.33
12380 4581.62
12390 4581.28
12400 4581.41
12410 4581.98
12420 4583.02
12430 4582.28
12440 4582.7
12450 4582.12
12460 4581.49
12470 4580.27
12480 4579.07
12490 4577
12500 4574.99
12510 4574.56
12520 4574.97
12530 4573.98
12540 4572.97
12550 4573.3
12560 4572.07
12570 4570.3
12580 4569.05
12590 4568.93
12600 4568.74
12610 4568.34
12620 4567.28
12630 4567.03
12640 4567.57
12650 4567.72
12660 4568.69
12670 4569.84
12680 4570.76
12690 4572.15
12700 4573.66
12710 4573.58
12720 4573.61
12730 4573.03
12740 4571.95
12750 4572.77
12760 4573.76
12770 4574.24
12780 4575.57
12790 4575.61
12800 4575.6
12810 4575.22
12820 4573.93
12830 4573.8
12840 4575.67
12850 4577.84
12860 4577.61
12870 4575.19
12880 4574.21
12890 4573.91
12900 4572.79
12910 4572.92
12920 4572.01
12930 4572.2
12940 4572.79
12950 4572.91
12960 4572.27
12970 4571.6
12980 4570.65
12990 4571.85
13000 4573.54
13010 4572.89
13020 4573.77
13030 4574.04
13040 4574.4
13050 4574.98
13060 4574.2
13070 4573.67
13080 4574.17
13090 4573.05
13100 4571.92
13110 4571.45
13120 4571.07
13130 4570.28
13140 4570.08
13150 4569.47
13160 4569.99
13170 4568.49
13180 4566.88
13190 4567.7
13200 4568.61
13210 4569.46
13220 4570.52
13230 4570.59
13240 4569.61
13250 4569.68
13260 4569.24
13270 4569.16
13280 4568.45
13290 4568.75
13300 4568.16
13310 4568.27
13320 4568.43
13330 4569.77
13340 4569.69
13350 4569.12
13360 4567.75
13370 4568.12
13380 4569.57
13390 4568.56
13400 4567.87
13410 4568.21
13420 4568.87
13430 4568.05
13440 4566.27
13450 4564.71
13460 4564.68
13470 4564.68
13480 4564.83
13490 4564.32
13500 4564.58
13510 4563.93
13520 4563.26
13530 4563.24
13540 4560.97
13550 4559.03
13560 4557.38
13570 4556.74
13580 4555.49
13590 4553.92
13600 4554.13
13610 4552.11
13620 4550.81
13630 4549.81
13640 4549.19
13650 4548.64
13660 4548.36
13670 4547.04
13680 4544.9
13690 4544.01
13700 4543.54
13710 4543.54
13720 4542.91
13730 4540.9
13740 4540.97
13750 4540.73
13760 4539.37
13770 4538.35
13780 4538.94
13790 4538.08
13800 4537.3
13810 4536.72
13820 4536.55
13830 4535.86
13840 4535.06
13850 4535.66
13860 4536.06
13870 4535.96
13880 4536.67
13890 4536.05
13900 4537.71
13910 4539.89
13920 4541.04
13930 4540.21
13940 4539.61
13950 4538.73
13960 4537.88
13970 4537.95
13980 4539.09
13990 4538.23
14000 4536.82
14010 4536.09
14020 4535.39
14030 4534.44
14040 4532.67
14050 4532.39
14060 4533.26
14070 4533.35
14080 4533.04
14090 4531.65
14100 4529.82
14110 4528.48
14120 4529.6
14130 4532.68
14140 4533.72
14150 4532.91
14160 4532.61
14170 4533.96
14180 4534.94
14190 4534.71
14200 4533.88
14210 4534.48
14220 4535.56
14230 4534.97
14240 4534.13
14250 4534.3
14260 4534.74
14270 4535.01
14280 4533.55
14290 4532.44
14300 4530.86
14310 4530.67
14320 4530.61
14330 4528.7
14340 4527.57
14350 4527.39
14360 4526.79
14370 4526.6
14380 4527.27
14390 4527.64
14400 4528.41
14410 4529.26
14420 4528.59
14430 4528.41
14440 4528.68
14450 4528.58
14460 4527.84
14470 4528.22
14480 4529.48
14490 4530.28
14500 4531.52
14510 4531.74
14520 4530.37
14530 4529.17
14540 4527.82
14550 4527.5
14560 4527
14570 4527.29
14580 4526.47
14590 4525.25
14600 4524.32
14610 4524.41
14620 4525.3
14630 4524.63
14640 4522.64
14650 4522.49
14660 4521.89
14670 4521.48
14680 4521.21
14690 4521.29
14700 4521.81
14710 4521.34
14720 4521.4
14730 4521.39
14740 4520.91
14750 4520.98
14760 4521.84
14770 4521.79
14780 4522.22
14790 4522.23
14800 4521.16
14810 4520.97
14820 4520.19
14830 4520.71
14840 4520.68
14850 4521.96
14860 4523.56
14870 4524.61
14880 4526.17
14890 4527.8
14900 4527.88
14910 4527.4
14920 4527.37
14930 4527.2
14940 4526.51
14950 4526.02
14960 4525.52
14970 4524.23
14980 4523.55
14990 4524.62
15000 4526.19
15010 4527.05
15020 4527.2
15030 4526.46
15040 4525.57
15050 4526.42
15060 4527.37
15070 4527.27
15080 4526.24
15090 4525.05
15100 4523.16
15110 4521.69
15120 4521.56
15130 4519.96
15140 4518.36
15150 4517.29
15160 4516.1
15170 4514.6
15180 4513.94
15190 4514.95
15200 4514.72
15210 4514.78
15220 4516.56
15230 4517.72
15240 4516.53
15250 4517.29
15260 4515.83
15270 4515.96
15280 4514.8
15290 4515.43
15300 4515.68
15310 4515.31
15320 4515
15330 4515.14
15340 4512.97
15350 4511.66
15360 4511.1
15370 4511.61
15380 4511.42
15390 4509.78
15400 4509.41
15410 4509.2
15420 4507.93
15430 4507.06
15440 4506.56
15450 4506.81
15460 4507.33
15470 4507.65
15480 4507.52
15490 4505.58
15500 4503.47
15510 4502.03
15520 4501.61
15530 4502.52
15540 4503.74
15550 4502.77
15560 4502.19
15570 4501.56
15580 4499.82
15590 4499.46
15600 4498.73
15610 4498.51
15620 4498.94
15630 4499.26
15640 4500.8
15650 4501.78
15660 4502.95
15670 4502.73
15680 4503.24
15690 4502.87
15700 4501.69
15710 4502.03
15720 4502.56
15730 4502.72
15740 4502.56
15750 4502.71
15760 4502.47
15770 4503.67
15780 4503.12
15790 4501.49
15800 4501.64
15810 4501.86
15820 4503.35
15830 4503.91
15840 4503.53
15850 4503.44
15860 4503.21
15870 4501.8
15880 4501.13
15890 4501.8
15900 4501.15
15910 4502.08
15920 4503.02
15930 4503.51
15940 4503.17
15950 4503.61
15960 4502.09
15970 4499.05
15980 4498.38
15990 4498.83
16000 4499.75
16010 4500.29
16020 4499.74
16030 4499.64
16040 4499.77
16050 4499.81
16060 4499.75
16070 4497.8
16080 4496.24
16090 4495.04
16100 4494.88
16110 4494.64
16120 4495.87
16130 4496.31
16140 4495.76
16150 4495.79
16160 4494.8
16170 4494.96
16180 4493.31
16190 4492.56
16200 4491.22
16210 4489.84
16220 4490.46
16230 4490.91
16240 4491.23
16250 4492.57
16260 4495.1
16270 4497.26
16280 4497.43
16290 4496.11
16300 4496.05
16310 4497.56
16320 4498.5
16330 4497.31
16340 4496.99
16350 4496.75
16360 4495.41
16370 4494.22
16380 4492.69
16390 4492.2
16400 4491.78
16410 4490.39
16420 4489.3
16430 4489.42
16440 4488.98
16450 4488.87
16460 4487.98
16470 4488.32
16480 4488.71
16490 4489.48
16500 4489.91
16510 4491.16
16520 4492.13
16530 4491.59
16540 4490.85
16550 4490.38
16560 4491.16
16570 4492.67
16580 4493.59
16590 4494.11
16600 4495.83
16610 4496.7
16620 4496.42
16630 4495.88
16640 4495.02
16650 4495.04
16660 4495.4
16670 4495.56
16680 4496.67
16690 4496.51
16700 4496.39
16710 4495.89
16720 4494.91
16730 4494.01
16740 4492.67
16750 4490.52
16760 4489.16
16770 4488.69
16780 4488.97
16790 4489.39
16800 4489.26
16810 4488.93
16820 4488.03
16830 4487.43
16840 4486.25
16850 4486.05
16860 4486.15
16870 4487.44
16880 4487.53
16890 4486.73
16900 4485.55
16910 4485.96
16920 4486.28
16930 4485.67
16940 4484.8
16950 4484.98
16960 4482.83
16970 4481.79
16980 4481.11
16990 4480.11
17000 4480.36
17010 4479.82
17020 4480.79
17030 4482.04
17040 4482.63
17050 4483.26
17060 4483.4
17070 4485.17
17080 4487.81
17090 4489.24
17100 4490.76
17110 4490.67
17120 4489.45
17130 4489.22
17140 4489.2
17150 4488.98
17160 4489.59
17170 4489.72
17180 4489.62
17190 4489.64
17200 4489.78
17210 4489.81
17220 4487.47
17230 4486.84
17240 4486.46
17250 4484.84
17260 4484.48
17270 4484.9
17280 4484.45
17290 4482.64
17300 4482.96
17310 4484.56
17320 4484.74
17330 4485.63
17340 4485.3
17350 4485.02
17360 4485.03
17370 4484.74
17380 4484.47
17390 4484.87
17400 4484.57
17410 4484.73
17420 4484.86
17430 4484.59
17440 4485.49
17450 4485.56
17460 4486.48
17470 4486.07
17480 4486.37
17490 4486.61
17500 4486.89
17510 4487.15
17520 4486.08
17530 4485.41
17540 4485.52
17550 4483.99
17560 4483.18
17570 4482.31
17580 4481.64
17590 4481.69
17600 4481.3
17610 4480.16
17620 4479.74
17630 4479.92
17640 4479.06
17650 4479.76
17660 4479.42
17670 4478.83
17680 4476.73
17690 4476.06
17700 4475.45
17710 4475.83
17720 4476.22
17730 4475.76
17740 4476.38
17750 4476.98
17760 4477.55
17770 4477.69
17780 4477.25
17790 4477.05
17800 4478.04
17810 4479.47
17820 4480.42
17830 4479.26
17840 4477.85
17850 4478.5
17860 4478.04
17870 4476.6
17880 4474.92
17890 4473.06
17900 4472.44
17910 4473.7
17920 4472.59
17930 4472.89
17940 4473.35
17950 4473.97
17960 4474.61
17970 4476.17
17980 4476.7
17990 4475.5
18000 4475.53
18010 4475.92
18020 4475.48
18030 4474.44
18040 4473.23
18050 4469.91
18060 4468.03
18070 4466.36
18080 4464.37
18090 4463.09
18100 4462.3
18110 4460.68
18120 4459.32
18130 4460.1
18140 4460.58
18150 4461.61
18160 4460.61
18170 4459.82
18180 4458.75
18190 4458.16
18200 4458.8
18210 4460.12
18220 4460.4
18230 4460.24
18240 4460.32
18250 4461.71
18260 4463.44
18270 4465.6
18280 4466.59
18290 4467.42
18300 4468.28
18310 4468.86
18320 4468.74
18330 4468.86
18340 4468.5
18350 4469.9
18360 4469.7
18370 4468.13
18380 4468.51
18390 4469.95
18400 4470.01
18410 4470.42
18420 4470.24
18430 4470.98
18440 4470.86
18450 4470.29
18460 4470.97
18470 4472.19
18480 4472.23
18490 4472.4
18500 4472.99
18510 4472.36
18520 4471.71
18530 4470.53
18540 4470.84
18550 4471.46
18560 4469.6
18570 4469.29
18580 4469.52
18590 4469.56
18600 4469.75
18610 4469.12
18620 4470.78
18630 4472.78
18640 4473.67
18650 4475.03
18660 4476.77
18670 4477.86
18680 4478.59
18690 4477.77
18700 4476.19
18710 4476.69
18720 4478.03
18730 4479.04
18740 4479.11
18750 4479.37
18760 4477.98
18770 4476.72
18780 4476.96
18790 4477.17
18800 4477.65
18810 4478.36
18820 4477.81
18830 4477.62
18840 4478.54
18850 4478.89
18860 4479.09
18870 4478.29
18880 4478.6
18890 4477.96
18900 4478.43
18910 4479.21
18920 4479.24
18930 4478.23
18940 4478.69
18950 4479.95
18960 4480.22
18970 4482.36
18980 4482.71
18990 4483.46
19000 4485.05
19010 4485.08
19020 4484.13
19030 4484.77
19040 4485.47
19050 4486.18
19060 4487.23
19070 4487.5
19080 4487.04
19090 4485.01
19100 4486.04
19110 4485.68
19120 4485.35
19130 4486.72
19140 4487.05
19150 4488.15
19160 4487.91
19170 4487.75
19180 4488.64
19190 4489.65
19200 4489.85
19210 4490.78
19220 4491.38
19230 4490.38
19240 4488.55
19250 4488.5
19260 4491.21
19270 4491.49
19280 4491.26
19290 4492.06
19300 4490.29
19310 4489.06
19320 4487.51
19330 4487.13
19340 4487.73
19350 4487.73
19360 4487.39
19370 4486.84
19380 4486.88
19390 4486.37
19400 4486.22
19410 4486.12
19420 4486.13
19430 4485.96
19440 4484.78
19450 4484.68
19460 4484.88
19470 4485.21
19480 4487.23
19490 4489.18
19500 4488.36
19510 4488.23
19520 4488.6
19530 4488.54
19540 4488.32
19550 4490.38
19560 4491.53
19570 4491.44
19580 4490.91
19590 4491.79
19600 4492.44
19610 4492.4
19620 4491.46
19630 4490.85
19640 4490.3
19650 4490.97
19660 4491.29
19670 4490.46
19680 4489.45
19690 4487.98
19700 4486.85
19710 4487.97
19720 4488.51
19730 4489.13
19740 4490.69
19750 4492.09
19760 4491.93
19770 4490.27
19780 4491.42
19790 4492.42
19800 4491.88
19810 4490.29
19820 4489.53
19830 4490.36
19840 4489.25
19850 4488.26
19860 4486.66
19870 4486.5
19880 4485.64
19890 4486.09
19900 4487.12
19910 4488.17
19920 4487.5
19930 4487.42
19940 4487.5
19950 4487.25
19960 4485.96
19970 4486.18
19980 4485.82
19990 4485.99
20000 4486
20010 4486.3
20020 4486.53
20030 4487.29
20040 4488.47
20050 4488.34
20060 4488.15
20070 4487.02
20080 4486.24
20090 4486.23
20100 4485.32
20110 4485.66
20120 4486.37
20130 4486.46
20140 4486.45
20150 4486.67
20160 4486.17
20170 4485.21
20180 4486.2
20190 4487.29
20200 4486.71
20210 4486.92
20220 4486.53
20230 4486.97
20240 4486.97
20250 4486.44
20260 4486.47
20270 4488.7
20280 4490.92
20290 4493.22
20300 4494.01
20310 4492.59
20320 4492.59
20330 4493.78
20340 4493.74
20350 4492.67
20360 4490.79
20370 4490.36
20380 4490.45
20390 4489.69
20400 4489.39
20410 4488.88
20420 4488.34
20430 4486.43
20440 4485.41
20450 4487.36
20460 4488.55
20470 4487.57
20480 4485.33
20490 4484.04
20500 4484.76
20510 4485.61
20520 4485.39
20530 4483.78
