# Time-averaged data for fix boxVol
# TimeStep v_boxVol
0 288811
10 288674
20 288589
30 288505
40 288439
50 288378
60 288321
70 288295
80 288299
90 288183
100 288059
110 287995
120 287947
130 287985
140 287899
150 287968
160 288058
170 288125
180 288135
190 288142
200 288156
210 288252
220 288327
230 288327
240 288407
250 288442
260 288450
270 288455
280 288547
290 288613
300 288632
310 288604
320 288690
330 288818
340 288952
350 288922
360 288963
370 289129
380 289255
390 289236
400 289129
410 288996
420 288952
430 288965
440 288894
450 288858
460 288818
470 288780
480 288788
490 288848
500 288899
510 288844
520 288736
530 288574
540 288491
550 288393
560 288325
570 288219
580 288148
590 288199
600 288280
610 288358
620 288463
630 288581
640 288612
650 288596
660 288516
670 288424
680 288297
690 288173
700 288210
710 288201
720 288226
730 288007
740 287966
750 288044
760 288185
770 288179
780 288316
790 288451
800 288539
810 288552
820 288623
830 288766
840 288875
850 289004
860 289055
870 289102
880 289094
890 289167
900 289293
910 289513
920 289623
930 289676
940 289677
950 289802
960 289790
970 289614
980 289483
990 289508
1000 289516
1010 289575
1020 289504
1030 289370
1040 289371
1050 289435
1060 289498
1070 289534
1080 289511
1090 289348
1100 289305
1110 289288
1120 289263
1130 289218
1140 289223
1150 289197
1160 289073
1170 288979
1180 288924
1190 288984
1200 288933
1210 288812
1220 288841
1230 288876
1240 288866
1250 288783
1260 288763
1270 288715
1280 288769
1290 288827
1300 288869
1310 288875
1320 288893
1330 288957
1340 289107
1350 289137
1360 289208
1370 289098
1380 289051
1390 289087
1400 288962
1410 288908
1420 288762
1430 288652
1440 288564
1450 288553
1460 288487
1470 288378
1480 288384
1490 288327
1500 288254
1510 288218
1520 288271
1530 288202
1540 288234
1550 288283
1560 288277
1570 288324
1580 288414
1590 288426
1600 288539
1610 288610
1620 288651
1630 288628
1640 288680
1650 288765
1660 288808
1670 288800
1680 288796
1690 288812
1700 288778
1710 288747
1720 288724
1730 288809
1740 288896
1750 288876
1760 288905
1770 288961
1780 288877
1790 288895
1800 288960
1810 288810
1820 288819
1830 288925
1840 288974
1850 288969
1860 288881
1870 288812
1880 288944
1890 288941
1900 288983
1910 289006
1920 289028
1930 288990
1940 288925
1950 288889
1960 288830
1970 288794
1980 288683
1990 288578
2000 288533
2010 288470
2020 288458
2030 288506
2040 288469
2050 288367
2060 288228
2070 288193
2080 288194
2090 288266
2100 288319
2110 288272
2120 288302
2130 288254
2140 288232
2150 288235
2160 288266
2170 288131
2180 288069
2190 288008
2200 287917
2210 287869
2220 287992
2230 288095
2240 288090
2250 288135
2260 288251
2270 288330
2280 288380
2290 288446
2300 288442
2310 288576
2320 288676
2330 288677
2340 288605
2350 288547
2360 288614
2370 288614
2380 288565
2390 288591
2400 288709
2410 288756
2420 288713
2430 288666
2440 288520
2450 288493
2460 288552
2470 288613
2480 288744
2490 288776
2500 288873
2510 288976
2520 289040
2530 288956
2540 288801
2550 288773
2560 288764
2570 288839
2580 288755
2590 288806
2600 288942
2610 288959
2620 289036
2630 289120
2640 289117
2650 289109
2660 289137
2670 289124
2680 289096
2690 288949
2700 288808
2710 288650
2720 288726
2730 288797
2740 288798
2750 288784
2760 288805
2770 288639
2780 288486
2790 288459
2800 288519
2810 288621
2820 288665
2830 288573
2840 288412
2850 288376
2860 288336
2870 288305
2880 288335
2890 288261
2900 288186
2910 288095
2920 287991
2930 288065
2940 288169
2950 288199
2960 288358
2970 288517
2980 288569
2990 288529
3000 288483
3010 288417
3020 288438
3030 288456
3040 288471
3050 288478
3060 288431
3070 288369
3080 288280
3090 288299
3100 288270
3110 288250
3120 288385
3130 288588
3140 288711
3150 288727
3160 288844
3170 288911
3180 288899
3190 288829
3200 288782
3210 288663
3220 288572
3230 288497
3240 288444
3250 288372
3260 288278
3270 288297
3280 288349
3290 288354
3300 288298
3310 288274
3320 288241
3330 288153
3340 288042
3350 288029
3360 287939
3370 287946
3380 288031
3390 288098
3400 288273
3410 288350
3420 288328
3430 288315
3440 288278
3450 288257
3460 288047
3470 287955
3480 287997
3490 288007
3500 287978
3510 287937
3520 287955
3530 287928
3540 287976
3550 287924
3560 288004
3570 288063
3580 288137
3590 288162
3600 288232
3610 288218
3620 288389
3630 288518
3640 288664
3650 288760
3660 288625
3670 288480
3680 288425
3690 288493
3700 288591
3710 288732
3720 288915
3730 288990
3740 289061
3750 289046
3760 289025
3770 288943
3780 288881
3790 288939
3800 289127
3810 289238
3820 289284
3830 289156
3840 289058
3850 289020
3860 289017
3870 289146
3880 289250
3890 289198
3900 289172
3910 289204
3920 289311
3930 289306
3940 289460
3950 289577
3960 289519
3970 289481
3980 289391
3990 289292
4000 289183
4010 288996
4020 288866
4030 288696
4040 288517
4050 288510
4060 288550
4070 288511
4080 288629
4090 288666
4100 288626
4110 288581
4120 288559
4130 288496
4140 288431
4150 288349
4160 288391
4170 288438
4180 288298
4190 288294
4200 288223
4210 288135
4220 288142
4230 288204
4240 288197
4250 288177
4260 288143
4270 288133
4280 288309
4290 288398
4300 288453
4310 288430
4320 288374
4330 288297
4340 288255
4350 288272
4360 288337
4370 288261
4380 288222
4390 288177
4400 288148
4410 288061
4420 288010
4430 288094
4440 288293
4450 288411
4460 288461
4470 288613
4480 288686
4490 288702
4500 288797
4510 288779
4520 288783
4530 288797
4540 288803
4550 288901
4560 289024
4570 289005
4580 288917
4590 288769
4600 288727
4610 288724
4620 288673
4630 288610
4640 288512
4650 288356
4660 288335
4670 288323
4680 288393
4690 288373
4700 288436
4710 288379
4720 288178
4730 288078
4740 288168
4750 288260
4760 288206
4770 288088
4780 288063
4790 288150
4800 288121
4810 288020
