# Time-averaged data for fix xyArea
# TimeStep v_xyArea
0 4359.65
10 4359.25
20 4358.82
30 4359.04
40 4360.57
50 4360.42
60 4360.92
70 4361.63
80 4359.97
90 4358.25
100 4358
110 4357.83
120 4357.26
130 4356.95
140 4356.14
150 4356.23
160 4356.15
170 4356.14
180 4356.83
190 4358.11
200 4358.97
210 4359.99
220 4358.65
230 4357.63
240 4356.67
250 4356.73
260 4357.15
270 4356.4
280 4355.79
290 4354.33
300 4353.65
310 4353.01
320 4352.32
330 4350.59
340 4349.91
350 4348.24
360 4348.11
370 4349
380 4348.57
390 4349.12
400 4350.02
410 4350.21
420 4351.42
430 4352.46
440 4351.76
450 4350.36
460 4349.08
470 4348.53
480 4348.3
490 4348.5
500 4347.3
510 4346.25
520 4345.4
530 4344.14
540 4343.14
550 4342.06
560 4341.29
570 4340.34
580 4340.33
590 4341.56
600 4342.33
610 4342.98
620 4341.62
630 4341.62
640 4341.13
650 4339.72
660 4339.37
670 4340
680 4340.39
690 4341.38
700 4340.28
710 4339.11
720 4338.73
730 4338.25
740 4338.51
750 4339.93
760 4341.49
770 4343.01
780 4342.82
790 4342.39
800 4342.25
810 4342.63
820 4342.84
830 4344
840 4345.63
850 4347.24
860 4347.8
870 4346.93
880 4346.63
890 4345.13
900 4342.87
910 4340.74
920 4340.55
930 4339.78
940 4339.01
950 4338.77
960 4337.33
970 4337.76
980 4338.6
990 4337.95
1000 4338.34
1010 4338.74
1020 4339.48
1030 4340.7
1040 4341.73
1050 4341.8
1060 4340.85
1070 4339.77
1080 4338.25
1090 4339.57
1100 4342.07
1110 4343.8
1120 4343.46
1130 4342.41
1140 4341.94
1150 4341.59
1160 4341.27
1170 4341.52
1180 4341.24
1190 4340.64
1200 4339.84
1210 4339.46
1220 4339.16
1230 4339.88
1240 4341.31
1250 4340.98
1260 4340.88
1270 4342.36
1280 4343.67
1290 4344.16
1300 4344.28
1310 4345.54
1320 4344.01
1330 4342.16
1340 4340.95
1350 4341.36
1360 4340.97
1370 4339.42
1380 4337.28
1390 4336.84
1400 4337.96
1410 4338.28
1420 4337.42
1430 4336.61
1440 4334.7
1450 4333.25
1460 4333.1
1470 4333.02
1480 4332.58
1490 4333.96
1500 4335.73
1510 4338.06
1520 4341.34
1530 4342.66
1540 4342.99
1550 4343.05
1560 4341.84
1570 4341.6
1580 4341.08
1590 4340.94
1600 4340.77
1610 4340.58
1620 4340.21
1630 4339.03
1640 4339.09
1650 4340.22
1660 4340.34
1670 4340.41
1680 4338.73
1690 4338.82
1700 4338.57
1710 4339
1720 4340.13
1730 4341.12
1740 4340.82
1750 4339.85
1760 4340.46
1770 4340.24
1780 4340.31
1790 4339.53
1800 4338.71
1810 4339.25
1820 4338.91
1830 4338.85
1840 4338.49
1850 4337.6
1860 4336.95
1870 4337.33
1880 4336.42
1890 4334.35
1900 4332.18
1910 4331.4
1920 4330.86
1930 4330.99
1940 4329.9
1950 4328.75
1960 4329.25
1970 4328.95
1980 4327.96
1990 4328.5
2000 4329.68
2010 4329.5
2020 4330.03
2030 4330.21
2040 4329.01
2050 4327.86
2060 4327.28
2070 4327.3
2080 4329.15
2090 4330.42
2100 4330.72
2110 4331.26
2120 4331.23
2130 4331.17
2140 4331.27
2150 4331.82
2160 4332.25
2170 4332.98
2180 4332.85
2190 4332.86
2200 4333.95
2210 4334.15
2220 4333.56
2230 4332.1
2240 4331.27
2250 4331.52
2260 4332.29
2270 4332.56
2280 4330.43
2290 4329.26
2300 4328.11
2310 4328.19
2320 4327.83
2330 4326.99
2340 4326.98
2350 4326.64
2360 4326.85
2370 4326.73
2380 4325.99
2390 4325.3
2400 4325.58
2410 4324.34
2420 4323.23
2430 4323
2440 4323.28
2450 4322.96
2460 4322.12
2470 4321.88
2480 4321.95
2490 4322.28
2500 4321.49
2510 4321.21
2520 4321.19
2530 4319.89
2540 4319.12
2550 4318.05
2560 4318.13
2570 4318.51
2580 4318.96
2590 4318.5
2600 4318.19
2610 4318.79
2620 4318.74
2630 4317.17
2640 4316.97
2650 4316.62
2660 4317.35
2670 4317.84
2680 4318.4
2690 4318.78
2700 4318.8
2710 4318.58
2720 4317.88
2730 4318.14
2740 4317.42
2750 4317.18
2760 4317.37
2770 4318.26
2780 4318.82
2790 4318.83
2800 4319.88
2810 4319.41
2820 4318.57
2830 4319.14
2840 4319.76
2850 4321.02
2860 4322.49
2870 4324.49
2880 4326.47
2890 4327.77
2900 4329.42
2910 4330.01
2920 4330.02
2930 4329.74
2940 4329.16
2950 4329.44
2960 4329.71
2970 4330.07
2980 4330.93
2990 4331.83
3000 4332.96
3010 4333.65
3020 4334.08
3030 4333.65
3040 4333.83
3050 4333.76
3060 4333.37
3070 4332.22
3080 4331.99
3090 4330.62
3100 4329.6
3110 4329.23
3120 4329.92
3130 4328.55
3140 4325.47
3150 4323.18
3160 4321.45
3170 4320.64
3180 4319.53
3190 4319.7
3200 4320.2
3210 4320.48
3220 4319.88
3230 4319.51
3240 4320.46
3250 4320.54
3260 4321.04
3270 4322.16
3280 4324.08
3290 4323.05
3300 4322.46
3310 4321.71
3320 4322.35
3330 4321.36
3340 4320.47
3350 4320.95
3360 4320.49
3370 4320.84
3380 4320.27
3390 4319.81
3400 4318.87
3410 4318.01
3420 4317.31
3430 4317.22
3440 4317.31
3450 4316.9
3460 4316.18
3470 4316.19
3480 4316.12
3490 4317.57
3500 4319
3510 4319.52
3520 4318.1
3530 4316.31
3540 4316.4
3550 4316.74
3560 4317.45
3570 4317.84
3580 4319.11
3590 4319.37
3600 4320.58
3610 4321.02
3620 4320.55
3630 4319.79
3640 4321.06
3650 4321.63
3660 4320.07
3670 4318.2
3680 4317.68
3690 4314.67
3700 4312.42
3710 4312.65
3720 4313.59
3730 4312.38
3740 4311.87
3750 4311.92
3760 4312.71
3770 4312.2
3780 4311.83
3790 4312.62
3800 4314.89
3810 4315.62
3820 4315.22
3830 4315.99
3840 4316.53
3850 4316.58
3860 4317.74
3870 4318.62
3880 4317.8
3890 4317.6
3900 4316.55
3910 4316.23
3920 4315.03
3930 4313.48
3940 4313.61
3950 4313.71
3960 4314.13
3970 4314.82
3980 4314.86
3990 4315.3
4000 4315.3
4010 4314.07
4020 4312.3
4030 4312.39
4040 4314.07
4050 4316.61
4060 4318.42
4070 4320.24
4080 4321.29
4090 4322.09
4100 4322.5
4110 4321.74
4120 4321.41
4130 4321.12
4140 4320.95
4150 4322.08
4160 4321.9
4170 4322.24
4180 4321.9
4190 4319.7
4200 4317.68
4210 4318.47
4220 4319.41
4230 4319.89
4240 4320.33
4250 4321.25
4260 4321.05
4270 4322.72
4280 4323.82
4290 4323.65
4300 4324.48
4310 4324.74
4320 4325.55
4330 4326.37
4340 4325.36
4350 4325.84
4360 4326.55
4370 4326.33
4380 4325.48
4390 4324.04
4400 4324.39
4410 4326.47
4420 4326.92
4430 4327.56
4440 4328.42
4450 4328.74
4460 4328.39
4470 4327.68
4480 4327.81
4490 4326.28
4500 4325.29
4510 4324.12
4520 4322.64
4530 4322.27
4540 4321.48
4550 4319.97
4560 4319.72
4570 4320.84
4580 4321.85
4590 4322.48
4600 4321.84
4610 4322.65
4620 4323.44
4630 4324.08
4640 4326.08
4650 4328.34
4660 4329.17
4670 4329.04
4680 4328.85
4690 4329.47
4700 4329.64
4710 4328.81
4720 4327.75
4730 4326.8
4740 4327.56
4750 4327.48
4760 4327.48
4770 4327.83
4780 4326.91
4790 4326.8
4800 4327.77
4810 4328.83
4820 4328.8
4830 4329.28
4840 4329.16
4850 4327.51
4860 4326.13
4870 4325.57
4880 4325.51
4890 4324.91
4900 4323.6
4910 4321.82
4920 4319.49
4930 4317.14
4940 4316.51
4950 4316.84
4960 4316.41
4970 4315.52
4980 4314.19
4990 4314.63
5000 4316.26
5010 4317.47
5020 4319.21
5030 4319
5040 4320.3
5050 4322.08
5060 4321.7
5070 4320.31
5080 4320.23
5090 4319.01
5100 4317.66
5110 4316.72
5120 4316.19
5130 4317.14
5140 4317.93
5150 4318.64
5160 4319.91
5170 4320.01
5180 4320.09
5190 4320.84
5200 4321.52
5210 4321.52
5220 4320.61
5230 4321.26
5240 4321.63
5250 4321.63
5260 4320.78
5270 4319.69
5280 4320.47
5290 4321.04
5300 4319.65
5310 4318.33
5320 4317.42
5330 4316.17
5340 4315.13
5350 4314.61
5360 4313.64
5370 4313.46
5380 4312.85
5390 4312.38
5400 4311.77
5410 4312.08
5420 4311.74
5430 4312.32
5440 4314.43
5450 4314.93
5460 4316.16
5470 4317.49
5480 4318.11
5490 4317.64
5500 4316.35
5510 4316.15
5520 4317.82
5530 4317.68
5540 4318.97
5550 4320.8
5560 4322.5
5570 4321.98
5580 4320.11
5590 4318.55
5600 4318.53
5610 4317.93
5620 4317.57
5630 4316.96
5640 4317.9
5650 4318.3
5660 4317.88
5670 4317.06
5680 4317.04
5690 4318.8
5700 4319.31
5710 4320.61
5720 4321.55
5730 4322.56
5740 4321.68
5750 4319.88
5760 4318.69
5770 4318.63
5780 4319.87
5790 4322.64
5800 4323.74
5810 4325.64
5820 4327.76
5830 4328.84
5840 4329.56
5850 4329.16
5860 4328.73
5870 4328.09
5880 4327.22
5890 4326.87
5900 4326.2
5910 4325.63
5920 4324.27
5930 4322.95
5940 4321.94
5950 4322.38
5960 4324.3
5970 4325.51
5980 4326.34
5990 4327.48
6000 4328.97
6010 4331.12
6020 4330.68
6030 4330.51
6040 4330.79
6050 4331.48
6060 4332.61
6070 4333.38
6080 4333.8
6090 4333.18
6100 4332.45
6110 4330.89
6120 4330.93
6130 4332.39
6140 4333.08
6150 4334.77
6160 4335.69
6170 4337.32
6180 4339.86
6190 4339.67
6200 4338.87
6210 4337.46
6220 4336.82
6230 4334.35
6240 4333.3
6250 4332.31
6260 4331.39
6270 4330.6
6280 4330.15
6290 4329.31
6300 4329.7
6310 4330.06
6320 4327.96
6330 4327.16
6340 4327.69
6350 4327.1
6360 4326.81
6370 4326.87
6380 4327.98
6390 4329.22
6400 4330.33
6410 4331.29
6420 4332.58
6430 4332.27
6440 4331.57
6450 4330.99
6460 4330.02
6470 4328.08
6480 4326.38
6490 4326.34
6500 4326.83
6510 4327.17
6520 4327.31
6530 4327.41
6540 4327.73
6550 4326.66
6560 4326.64
6570 4327.4
6580 4328.12
6590 4328.05
6600 4327.42
6610 4328.07
6620 4329.69
6630 4330.3
6640 4331.33
6650 4332.1
6660 4330.65
6670 4329.33
6680 4328.54
6690 4328.54
6700 4328.23
6710 4327.43
6720 4327.66
6730 4327.01
6740 4325.53
6750 4325.08
6760 4325.73
6770 4326.72
6780 4328.39
6790 4331.6
6800 4332.48
6810 4332.18
6820 4332.17
6830 4333.51
6840 4332.74
6850 4332.39
6860 4334.13
6870 4335.33
6880 4333.63
6890 4331.79
6900 4330.15
6910 4330.05
6920 4329.96
6930 4329.67
6940 4330.13
6950 4329.86
6960 4329.76
6970 4329.25
6980 4329.48
6990 4329.42
7000 4329.71
7010 4329.82
7020 4329.46
7030 4329.61
7040 4330.34
7050 4330.89
7060 4331.95
7070 4332.62
7080 4332.31
7090 4332.77
7100 4333.93
7110 4334.13
7120 4335.79
7130 4336.87
7140 4338.43
7150 4339.06
7160 4339.04
7170 4338.67
7180 4339.19
7190 4339.72
7200 4340.56
7210 4341.81
7220 4342.17
7230 4342.57
7240 4342.15
7250 4342.08
7260 4341.4
7270 4341.12
7280 4340.61
7290 4338.44
7300 4336.67
7310 4337.52
7320 4339.94
7330 4340.36
7340 4341.16
7350 4341.45
7360 4341.65
7370 4342.52
7380 4341.23
7390 4341.05
7400 4342.32
7410 4342.37
7420 4341.32
7430 4341.3
7440 4340.84
7450 4341.79
7460 4342.88
7470 4343.07
7480 4342.05
7490 4341.76
7500 4341.85
7510 4341.32
7520 4340.2
7530 4338.53
7540 4336.05
7550 4333.96
7560 4333.74
7570 4333.65
7580 4332.93
7590 4331.81
7600 4331.08
7610 4331.14
7620 4331.26
7630 4331.71
7640 4332.29
7650 4332.18
7660 4333.34
7670 4333.83
7680 4334.63
7690 4336.28
7700 4336.98
7710 4335.99
7720 4337.16
7730 4336.77
7740 4336.74
7750 4337.73
7760 4339.66
