# Time-averaged data for fix gamma
# TimeStep v_gamma
5000 -11.8417
10000 -2.49231
15000 0.000489666
20000 -1.31659
25000 0.556145
30000 1.59302
35000 1.35693
40000 -0.585126
45000 -0.356684
50000 0.585137
55000 -0.482157
60000 -3.49229
65000 2.2341
70000 1.24865
75000 -1.29766
80000 0.894828
85000 1.18006
90000 1.09071
95000 2.89125
100000 1.10302
105000 1.07462
110000 0.728571
115000 0.264414
120000 -0.423957
125000 0.0150084
130000 -0.293309
135000 0.133619
140000 1.64939
145000 -2.22428
150000 0.321404
155000 -0.377365
